achat_id,client_id,produit,catégorie,quantité,prix_unitaire,montant_total,achat_effectue,segment,date_achat,retour,note_satisfaction,propension_achat,canal_achat,moyen_paiement,campagne_marketing,nom,âge,sexe,ville
17,C12369,Savon,Hygiène,1,2293,2293,1,Fidèles,2022-03-22,1,2,0.62,Magasin,Espèces,Non,Léon De Oliveira,53,M,Yaoundé
18,C23188,Shampoing,Hygiène,1,3916,3916,1,Potentiels,2022-05-08,0,5,0.34,Magasin,Espèces,Non,Jules Masse,68,M,Douala
19,C20992,Ventilateur,Électroménager,4,79984,319936,1,Champions,2023-04-07,0,5,0.84,Magasin,Mobile Money,Oui,Zacharie Berger,61,F,Yaoundé
20,C44683,Dentifrice,Hygiène,5,6192,30960,1,Perdus,2021-06-24,0,2,0.39,En ligne,Mobile Money,Non,Roland Henry,63,F,Douala
21,C43518,Mixeur,Électroménager,2,52208,104416,1,À risque,2022-04-23,0,2,0.32,Mobile,Mobile Money,Non,Charlotte Le Charpentier,61,F,Douala
22,C06520,Marteau,Bricolage,2,44472,88944,1,À risque,2019-04-30,0,5,0.51,Mobile,Mobile Money,Non,Édouard Masse-Daniel,64,M,Yaoundé
23,C52853,Chaise,Maison,2,124438,248876,1,Perdus,2021-09-18,0,4,0.21,Magasin,Mobile Money,Non,Renée Lagarde,29,M,Bertoua
24,C33795,Chaise,Maison,1,78641,78641,1,À risque,2023-02-18,0,5,0.32,Magasin,Mobile Money,Oui,Bertrand Ferrand-Gautier,44,F,Douala
25,C14837,Huile 1L,Alimentaire,4,1276,5104,1,Perdus,2020-12-04,0,5,0.54,Magasin,Espèces,Non,Élise David-Lebon,65,M,Yaoundé
26,C56160,Réfrigérateur,Électroménager,1,186715,186715,1,Fidèles,2022-03-13,0,2,0.56,Mobile,Mobile Money,Non,Alain Chauvet,61,M,Garoua
27,C38481,Paracétamol,Santé,4,1171,4684,1,Champions,2019-05-05,0,5,0.74,Magasin,Carte bancaire,Oui,Jacqueline Germain-Legros,61,M,Ngaoundéré
28,C59670,Recharge mobile,Services,4,48103,192412,1,Champions,2019-04-24,0,5,0.37,Magasin,Mobile Money,Non,Joseph Olivier,20,M,Ngaoundéré
29,C29967,Forfait Internet,Services,5,90026,450130,1,Fidèles,2020-12-14,0,5,0.93,Magasin,Espèces,Non,Isaac Bousquet-Didier,69,F,Yaoundé
30,C38220,Jus naturel,Alimentaire,3,2069,6207,1,Perdus,2021-01-25,0,2,0.62,Magasin,Mobile Money,Non,Constance de Rossi,43,M,Douala
31,C14955,Biscuits,Alimentaire,1,4417,4417,1,Fidèles,2021-11-09,0,2,0.86,Magasin,Mobile Money,Non,Colette Morin,44,M,Douala
32,C57249,Cuisinière,Électroménager,2,51562,103124,1,À risque,2020-08-30,0,1,0.7,Magasin,Espèces,Non,Adrien Masson,25,F,Yaoundé
0,C24191,Recharge mobile,Services,0,0,0,0,Champions,2019-03-07,0,5,0.64,0,Mobile Money,Non,Franck Pereira,32,M,Douala
33,C14332,Abonnement Canal+,Services,2,25000,50000,1,Fidèles,2021-12-30,0,3,0.58,Magasin,Mobile Money,Oui,Maurice Le Garnier,20,F,Douala
34,C13194,Dentifrice,Hygiène,2,1485,2970,1,Perdus,2023-09-05,0,5,0.65,En ligne,Mobile Money,Non,Virginie-Frédérique Payet,53,M,Douala
35,C55081,Jus naturel,Alimentaire,5,4494,22470,1,Potentiels,2021-06-14,0,5,0.76,Mobile,Mobile Money,Non,Margaud de la Courtois,30,F,Bertoua
36,C51278,Ordinateur portable,Électronique,2,156227,312454,1,Potentiels,2020-06-10,0,5,0.91,Magasin,Mobile Money,Non,Yves Alexandre,43,F,Bafoussam
37,C29779,Lait en poudre,Alimentaire,5,3307,16535,1,Potentiels,2021-08-16,0,2,0.4,En ligne,Espèces,Non,Christine Dufour de la Besnard,53,M,Yaoundé
38,C35281,Rideaux,Maison,4,56226,224904,1,À risque,2021-10-20,0,2,0.09,En ligne,Espèces,Non,Pénélope Guibert,52,M,Douala
39,C30687,Lait en poudre,Alimentaire,2,1518,3036,1,Champions,2023-12-09,0,5,0.52,Mobile,Mobile Money,Non,Bertrand Aubert,24,M,Yaoundé
40,C02868,Riz 5kg,Alimentaire,4,2052,8208,1,À risque,2021-11-10,0,2,0.34,Magasin,Mobile Money,Oui,Xavier Gosselin,59,M,Yaoundé
41,C22238,Huile 1L,Alimentaire,3,3480,10440,1,Perdus,2020-08-17,0,4,0.4,Magasin,Mobile Money,Non,Christophe Clerc,47,F,Yaoundé
42,C33482,Biscuits,Alimentaire,2,3978,7956,1,Perdus,2019-08-21,0,4,0.02,En ligne,Espèces,Non,Noémi Colin de la Guibert,19,M,Yaoundé
43,C07534,Savon,Hygiène,5,4206,21030,1,Potentiels,2022-09-09,0,4,0.98,En ligne,Mobile Money,Non,Benoît Pichon,44,M,Yaoundé
0,C53646,Recharge mobile,Services,0,0,0,0,À risque,2019-05-22,0,2,0.97,0,Carte bancaire,Non,Suzanne Barbier,19,F,Douala
44,C14861,Cuisinière,Électroménager,5,244333,1221665,1,Potentiels,2020-03-28,0,1,0.66,En ligne,Espèces,Non,Charlotte Lévêque,44,F,Yaoundé
45,C46893,Abonnement Canal+,Services,5,25000,125000,1,Fidèles,2023-08-27,0,3,0.17,En ligne,Mobile Money,Oui,Alix-Brigitte Torres,32,M,Douala
46,C00607,Savon,Hygiène,2,4547,9094,1,Perdus,2023-06-24,0,3,0.6,En ligne,Mobile Money,Non,Michelle Ledoux,41,F,Douala
0,C51353,Peinture,Bricolage,0,0,0,0,Perdus,2021-08-02,0,2,0.29,0,Mobile Money,Non,Alex Guillot,39,F,Douala
47,C36527,Stylo,Papeterie,5,17542,87710,1,Perdus,2022-05-06,0,2,0.19,Mobile,Mobile Money,Non,Patricia-Victoire Reynaud,43,F,Douala
48,C46877,Cahier,Papeterie,1,12956,12956,1,À risque,2022-11-07,0,4,0.08,Mobile,Mobile Money,Non,Yves Michel-Leconte,18,F,Douala
49,C16538,Rideaux,Maison,5,30118,150590,1,À risque,2020-12-02,0,5,0.2,En ligne,Mobile Money,Oui,Nicolas Bertrand,40,F,Yaoundé
50,C12134,Table,Maison,3,105962,317886,1,À risque,2023-04-27,0,5,0.67,Magasin,Espèces,Non,Xavier Noël,21,F,Douala
51,C16593,Chemise,Textile,2,50161,100322,1,À risque,2022-09-26,0,5,0.9,Magasin,Espèces,Non,Dorothée Valette,41,F,Douala
52,C14503,Lait en poudre,Alimentaire,3,3800,11400,1,À risque,2023-09-27,0,2,0.56,Magasin,Mobile Money,Non,Inès Meunier,61,F,Yaoundé
53,C46078,Recharge mobile,Services,4,81213,324852,1,Fidèles,2020-06-04,0,1,0.62,Magasin,Mobile Money,Non,Céline de Langlois,54,M,Douala
54,C46204,Chemise,Textile,1,35537,35537,1,Fidèles,2021-11-30,0,4,0.99,Magasin,Carte bancaire,Non,Hugues Guilbert,22,M,Bertoua
55,C00746,Chaise,Maison,3,95176,285528,1,Champions,2023-07-06,0,1,0.44,Magasin,Mobile Money,Oui,Diane Marty,53,M,Yaoundé
56,C21252,Forfait Internet,Services,4,69940,279760,1,Fidèles,2021-12-28,0,3,0.93,Magasin,Espèces,Non,Simone Humbert,30,F,Douala
57,C20500,Lait en poudre,Alimentaire,5,2911,14555,1,Fidèles,2020-04-28,0,5,0.26,Magasin,Mobile Money,Non,Théodore Caron,62,F,Yaoundé
58,C32037,Chemise,Textile,4,42858,171432,1,À risque,2022-05-02,0,4,0.16,Mobile,Espèces,Oui,Nathalie Maillot de Léger,43,M,Yaoundé
59,C54447,Télévision,Électronique,1,405470,405470,1,Champions,2021-05-20,0,3,0.78,Magasin,Mobile Money,Non,Tristan Hamel du Leleu,44,F,Douala
60,C15125,Ordinateur portable,Électronique,1,96484,96484,1,Potentiels,2019-10-26,0,5,0.39,En ligne,Mobile Money,Non,Rémy Mahe,61,F,Yaoundé
61,C01748,Shampoing,Hygiène,4,3053,12212,1,Perdus,2021-06-06,0,5,0.4,En ligne,Espèces,Non,Théophile Lebreton,63,M,Garoua
62,C01856,Réfrigérateur,Électroménager,2,99693,199386,1,Perdus,2020-01-25,0,5,0.65,Magasin,Espèces,Non,Laetitia Vallée,59,M,Douala
63,C59087,Cahier,Papeterie,2,7078,14156,1,Champions,2019-07-17,0,2,0.95,En ligne,Mobile Money,Oui,Roland Turpin de Duhamel,51,F,Garoua
0,C40050,Lait en poudre,Alimentaire,0,0,0,0,Champions,2023-12-16,0,5,0.1,0,Mobile Money,Oui,Patrick Marin,46,M,Garoua
64,C37266,Ventilateur,Électroménager,2,209884,419768,1,Perdus,2022-06-05,0,2,0.68,En ligne,Mobile Money,Oui,Marc Sauvage,19,M,Yaoundé
0,C38114,Biscuits,Alimentaire,0,0,0,0,Perdus,2023-10-03,0,2,0.44,0,Carte bancaire,Oui,Denis Allain,41,F,Yaoundé
65,C47077,Biscuits,Alimentaire,5,851,4255,1,Perdus,2019-03-22,0,2,0.11,Mobile,Mobile Money,Non,Nath Marty,39,M,Ngaoundéré
66,C42185,Jus naturel,Alimentaire,3,3023,9069,1,À risque,2023-09-29,0,1,0.13,Magasin,Espèces,Non,Marine de Da Costa,69,M,Bafoussam
67,C06553,Lait en poudre,Alimentaire,2,3015,6030,1,Potentiels,2022-03-05,0,1,0.74,Magasin,Mobile Money,Oui,Dominique Carre,19,M,Bertoua
68,C18336,Lait en poudre,Alimentaire,5,3458,17290,1,À risque,2022-05-02,0,4,0.57,Magasin,Mobile Money,Non,Laure Robert,69,F,Douala
69,C04012,Pantalon,Textile,4,4271,17084,1,À risque,2023-06-10,0,3,0.68,Mobile,Espèces,Non,Édouard-Marc Lefebvre,68,F,Douala
70,C41585,Abonnement Canal+,Services,4,25000,100000,1,Fidèles,2021-06-26,0,2,0.29,Magasin,Espèces,Non,Véronique Normand,51,F,Douala
71,C20833,Crayon,Papeterie,1,5316,5316,1,Champions,2022-06-21,0,4,0.17,Magasin,Mobile Money,Oui,Marguerite Petitjean,48,F,Yaoundé
72,C33040,Gel douche,Hygiène,5,6672,33360,1,À risque,2021-04-17,0,1,0.32,Magasin,Mobile Money,Non,Benoît Pereira,63,M,Douala
73,C58116,Abonnement Canal+,Services,2,25000,50000,1,Champions,2022-12-08,0,1,0.35,Magasin,Mobile Money,Non,Agathe Toussaint,51,M,Douala
74,C37833,Mixeur,Électroménager,3,29430,88290,1,Perdus,2020-06-18,0,1,0.88,En ligne,Mobile Money,Non,Henriette Briand,34,M,Bertoua
75,C18872,Mixeur,Électroménager,4,142242,568968,1,À risque,2022-09-27,0,3,0.53,En ligne,Mobile Money,Non,Thérèse de la Costa,67,M,Garoua
76,C14443,Huile 1L,Alimentaire,4,1262,5048,1,Perdus,2021-11-24,0,3,0.82,En ligne,Mobile Money,Non,Martin Goncalves-Traore,57,M,Yaoundé
77,C01548,Abonnement Canal+,Services,4,5000,20000,1,Potentiels,2021-03-13,0,3,0.45,Magasin,Mobile Money,Non,Zoé de la Barthelemy,52,F,Bertoua
78,C53514,Rideaux,Maison,5,133448,667240,1,Potentiels,2023-05-02,0,3,0.5,Magasin,Mobile Money,Non,Stéphane-Benjamin Martins,27,M,Douala
79,C09645,Marteau,Bricolage,2,43410,86820,1,À risque,2019-12-14,0,4,0.1,Magasin,Mobile Money,Non,Olivier Joseph,54,M,Douala
0,C21314,Recharge mobile,Services,0,0,0,0,Fidèles,2020-10-22,0,2,0.9,0,Espèces,Non,Eugène Legrand,34,F,Yaoundé
80,C07909,Huile 1L,Alimentaire,5,3526,17630,1,Fidèles,2022-11-10,0,2,0.1,Magasin,Espèces,Non,Noémi Meunier-Chauvin,37,F,Bafoussam
81,C54064,Dentifrice,Hygiène,2,3512,7024,1,Champions,2019-05-13,0,5,0.01,En ligne,Mobile Money,Non,Audrey Boucher,60,F,Douala
82,C40078,Riz 5kg,Alimentaire,2,3760,7520,1,À risque,2020-02-17,0,1,0.9,Mobile,Mobile Money,Non,Bernard Barre,66,M,Yaoundé
83,C16690,Jus naturel,Alimentaire,1,2652,2652,1,Perdus,2020-07-18,0,3,0.81,Magasin,Mobile Money,Non,Julie Vincent-Aubert,26,M,Bafoussam
84,C14311,Riz 5kg,Alimentaire,4,1430,5720,1,Potentiels,2023-05-14,0,5,0.42,Magasin,Mobile Money,Non,Camille Legros-Thibault,26,M,Garoua
85,C22051,Abonnement Canal+,Services,1,25000,25000,1,Potentiels,2020-06-24,0,2,0.47,Magasin,Mobile Money,Non,Dorothée Rivière,18,M,Bertoua
86,C53457,Lait en poudre,Alimentaire,4,3985,15940,1,À risque,2020-01-20,0,3,0.68,Mobile,Mobile Money,Non,Odette Rossi,46,M,Yaoundé
87,C53703,Rideaux,Maison,4,136155,544620,1,Perdus,2020-07-29,0,1,0.11,En ligne,Mobile Money,Non,Camille Girard-Bonnin,43,F,Douala
88,C42386,Jus naturel,Alimentaire,2,3870,7740,1,Perdus,2019-01-10,0,4,0.14,En ligne,Espèces,Non,Constance-Amélie Gilles,44,M,Yaoundé
89,C08220,Biscuits,Alimentaire,1,1505,1505,1,À risque,2023-05-31,0,2,0.87,En ligne,Mobile Money,Non,Isaac Barre,47,M,Douala
90,C49045,Ordinateur portable,Électronique,3,42807,128421,1,À risque,2021-11-04,0,4,0.82,En ligne,Mobile Money,Non,Luce Auger,47,F,Douala
91,C25644,Savon,Hygiène,2,600,1200,1,Perdus,2023-09-02,0,1,0.87,Magasin,Carte bancaire,Non,Josette Albert,37,F,Ngaoundéré
92,C19568,Sac à main,Textile,3,57165,171495,1,Perdus,2023-02-06,0,3,0.83,Magasin,Mobile Money,Oui,Édouard Delattre,35,F,Yaoundé
93,C36793,Biscuits,Alimentaire,4,3947,15788,1,À risque,2019-05-19,0,1,0.48,Magasin,Mobile Money,Oui,Émilie Klein,57,M,Douala
94,C29133,Recharge mobile,Services,2,11142,22284,1,Perdus,2022-09-26,0,4,0.07,Magasin,Mobile Money,Non,Gilbert Peltier,25,F,Douala
95,C55517,Marteau,Bricolage,4,18386,73544,1,Fidèles,2019-11-23,0,5,0.18,Mobile,Mobile Money,Oui,Théophile Legendre,53,F,Yaoundé
96,C39872,Sac à main,Textile,2,80634,161268,1,Champions,2022-01-08,0,3,0.9,En ligne,Mobile Money,Non,Bertrand Langlois,41,F,Yaoundé
97,C18835,Biscuits,Alimentaire,2,549,1098,1,Perdus,2019-09-19,0,1,0.98,Mobile,Mobile Money,Non,Sylvie Roger,63,F,Garoua
98,C53176,Recharge mobile,Services,1,26107,26107,1,Potentiels,2020-02-17,0,3,0.13,En ligne,Mobile Money,Non,Adèle Besson,62,M,Garoua
99,C46806,Shampoing,Hygiène,4,2886,11544,1,Fidèles,2023-12-19,0,2,0.35,Magasin,Carte bancaire,Non,Xavier Couturier-Marie,21,M,Douala
100,C36239,Lait infantile,Santé,2,40319,80638,1,À risque,2019-05-23,0,3,0.02,Magasin,Espèces,Oui,Alexandria Marty,43,F,Yaoundé
0,C01817,Casque audio,Électronique,0,0,0,0,Champions,2022-12-04,0,5,0.64,0,Espèces,Non,Diane Martins du Roussel,34,F,Douala
101,C08691,Télévision,Électronique,4,104336,417344,1,Perdus,2023-04-15,0,1,0.5,En ligne,Espèces,Non,Thibault-Augustin Rousseau,55,F,Douala
102,C21813,Gel douche,Hygiène,1,646,646,1,Fidèles,2020-12-03,0,5,0.53,Mobile,Mobile Money,Non,Antoinette Pages,50,M,Yaoundé
103,C20662,Cahier,Papeterie,4,17793,71172,1,Potentiels,2023-06-19,0,5,0.8,Magasin,Espèces,Oui,Pénélope de Joseph,21,F,Douala
104,C52080,Matelas,Maison,3,24390,73170,1,À risque,2023-08-27,0,2,0.2,En ligne,Espèces,Non,Alexandre Le Blot,44,F,Maroua
105,C03083,Abonnement Canal+,Services,3,15000,45000,1,Potentiels,2022-09-27,0,4,0.9,Magasin,Espèces,Non,Frédérique Lebrun-Lopez,26,F,Garoua
106,C41973,Paracétamol,Santé,4,31279,125116,1,Perdus,2023-09-08,0,4,0.34,Magasin,Espèces,Oui,Marguerite Pineau,22,M,Garoua
107,C00836,Ciment,Bricolage,4,30542,122168,1,À risque,2023-06-04,0,2,0.47,En ligne,Mobile Money,Non,Honoré Boutin,54,F,Maroua
108,C57265,Ciment,Bricolage,4,56503,226012,1,Perdus,2020-03-02,0,5,0.05,En ligne,Mobile Money,Non,Océane Riou,69,F,Douala
109,C08395,Lait infantile,Santé,1,22480,22480,1,Fidèles,2022-07-27,0,5,0.22,Magasin,Espèces,Non,Benoît Ledoux,21,M,Maroua
110,C50824,Jus naturel,Alimentaire,4,3018,12072,1,Fidèles,2022-11-03,0,3,0.07,Magasin,Mobile Money,Non,Théodore Marchand,58,M,Douala
111,C06326,Dentifrice,Hygiène,2,1439,2878,1,À risque,2021-12-09,0,1,0.99,Mobile,Espèces,Oui,Aimé Julien-Guibert,69,F,Yaoundé
112,C56854,Riz 5kg,Alimentaire,4,4184,16736,1,Perdus,2021-11-10,0,4,0.2,Magasin,Espèces,Non,Maurice Rodriguez,41,M,Bafoussam
113,C13032,Dentifrice,Hygiène,4,4560,18240,1,Perdus,2023-02-26,0,3,0.34,Magasin,Mobile Money,Non,Lucas Baudry,29,M,Douala
114,C03223,Smartphone,Électronique,1,34370,34370,1,Champions,2021-09-02,0,4,0.57,Magasin,Mobile Money,Oui,Célina Maréchal,63,F,Yaoundé
115,C30485,Jus naturel,Alimentaire,5,1411,7055,1,Potentiels,2019-03-17,0,1,0.51,En ligne,Mobile Money,Non,Robert Moreau-Bourgeois,52,M,Yaoundé
116,C57224,Abonnement Canal+,Services,2,25000,50000,1,Perdus,2022-09-24,0,2,0.59,Magasin,Espèces,Non,Jérôme De Sousa,34,M,Garoua
117,C19938,Jus naturel,Alimentaire,3,3703,11109,1,Potentiels,2021-11-25,0,2,0.55,En ligne,Espèces,Oui,Paulette Delaunay,34,M,Yaoundé
118,C51794,Vitamines,Santé,1,12308,12308,1,Fidèles,2021-04-04,0,4,0.45,Magasin,Mobile Money,Non,André Maury-Daniel,59,M,Douala
119,C15727,Ventilateur,Électroménager,1,20758,20758,1,Potentiels,2021-01-30,0,1,0.56,Magasin,Mobile Money,Non,Alex Breton,68,F,Yaoundé
120,C53609,Huile 1L,Alimentaire,5,2157,10785,1,Champions,2023-03-23,0,4,0.45,Magasin,Espèces,Non,Jeanne Rey,24,M,Yaoundé
121,C55809,Ordinateur portable,Électronique,5,216661,1083305,1,À risque,2020-02-24,0,4,0.53,Mobile,Espèces,Non,Simone Teixeira,55,F,Yaoundé
122,C03153,Chaussures,Textile,5,26218,131090,1,Champions,2020-09-23,0,2,0.66,En ligne,Mobile Money,Non,Roger Rousset,62,F,Yaoundé
123,C33050,Savon,Hygiène,4,6981,27924,1,Potentiels,2021-05-01,0,4,0.41,En ligne,Espèces,Non,Margot Dupuis,51,F,Douala
124,C54149,Rideaux,Maison,5,127060,635300,1,À risque,2019-02-08,1,1,0.14,Magasin,Espèces,Non,Jacques Allain,50,F,Douala
125,C06295,Biscuits,Alimentaire,5,1045,5225,1,Potentiels,2020-08-04,0,2,0.2,Mobile,Espèces,Non,Adrien du Roche,58,F,Yaoundé
126,C09876,Biscuits,Alimentaire,1,1767,1767,1,Perdus,2022-07-30,0,5,0.24,Magasin,Espèces,Non,Laurent David,66,M,Yaoundé
127,C10530,Réfrigérateur,Électroménager,3,48775,146325,1,Perdus,2021-02-10,0,2,0.18,En ligne,Espèces,Non,Josette Lopes,19,F,Bafoussam
128,C55355,Peinture,Bricolage,2,28683,57366,1,Fidèles,2019-03-30,0,1,0.68,En ligne,Mobile Money,Non,Christophe-Thierry Benoit,18,F,Bafoussam
129,C53794,Riz 5kg,Alimentaire,2,1771,3542,1,Potentiels,2020-11-26,0,1,0.0,Magasin,Espèces,Non,Philippine Lopes,50,M,Yaoundé
130,C57314,Réfrigérateur,Électroménager,3,30518,91554,1,Potentiels,2022-06-15,0,4,0.12,Magasin,Carte bancaire,Oui,Alexandre Laroche,26,F,Douala
131,C51214,Jus naturel,Alimentaire,3,4613,13839,1,Perdus,2020-12-17,0,1,0.04,Magasin,Espèces,Non,Pierre Lacroix,47,M,Yaoundé
132,C54775,Pantalon,Textile,3,15739,47217,1,Fidèles,2022-12-16,0,4,0.69,Magasin,Mobile Money,Non,Daniel Grondin Le Lefèvre,20,F,Yaoundé
133,C43521,Cartable,Papeterie,5,11356,56780,1,Fidèles,2019-06-05,0,5,0.74,En ligne,Mobile Money,Non,Thomas de la Dupuis,21,F,Yaoundé
134,C25266,Rideaux,Maison,4,126643,506572,1,À risque,2023-12-26,0,2,0.61,Magasin,Mobile Money,Non,Patrick Gauthier,42,F,Bafoussam
135,C38631,Jus naturel,Alimentaire,3,3450,10350,1,Perdus,2022-05-20,0,2,0.49,En ligne,Mobile Money,Oui,Thierry Labbé,68,M,Garoua
136,C08377,Casque audio,Électronique,1,98655,98655,1,Champions,2021-12-10,0,4,0.18,En ligne,Mobile Money,Non,Alexandrie Antoine,35,F,Yaoundé
137,C48230,Dentifrice,Hygiène,4,4834,19336,1,Perdus,2021-03-14,0,4,0.81,Magasin,Mobile Money,Non,Anouk Guillou,22,F,Yaoundé
138,C11378,Stylo,Papeterie,3,601,1803,1,Champions,2021-07-21,0,3,0.03,En ligne,Carte bancaire,Non,Henri Maurice,28,M,Douala
139,C45269,Shampoing,Hygiène,4,4599,18396,1,Potentiels,2022-03-24,0,1,0.27,En ligne,Mobile Money,Non,Robert Leclerc de la Jourdan,48,F,Maroua
140,C06053,Ventilateur,Électroménager,1,196599,196599,1,Fidèles,2021-10-28,0,4,0.41,En ligne,Mobile Money,Non,Virginie Pages,39,F,Douala
141,C47294,Lait en poudre,Alimentaire,3,2646,7938,1,À risque,2023-08-03,0,5,0.91,Mobile,Carte bancaire,Non,Matthieu Letellier,27,F,Yaoundé
142,C52018,Cartable,Papeterie,3,927,2781,1,Perdus,2019-02-23,0,1,0.66,Magasin,Carte bancaire,Non,Zacharie du Allard,60,F,Douala
143,C50562,Shampoing,Hygiène,5,3165,15825,1,Potentiels,2019-06-03,0,1,0.39,En ligne,Mobile Money,Non,Inès Grondin,18,F,Yaoundé
144,C29315,Abonnement Canal+,Services,3,25000,75000,1,Fidèles,2022-08-30,0,5,0.42,Magasin,Mobile Money,Non,Alexandre Marchal,60,M,Douala
145,C02428,Biscuits,Alimentaire,3,4664,13992,1,Champions,2021-11-26,0,3,0.36,Magasin,Mobile Money,Non,Élisabeth Traore,61,M,Douala
146,C42071,Chaussures,Textile,3,86770,260310,1,Fidèles,2020-06-25,0,5,0.72,Magasin,Carte bancaire,Non,Adélaïde Bouvet,32,M,Yaoundé
147,C51551,Abonnement Canal+,Services,4,25000,100000,1,À risque,2021-10-01,0,1,0.73,Magasin,Mobile Money,Non,Denise Navarro,43,F,Douala
148,C48153,Sac à main,Textile,3,51630,154890,1,Fidèles,2022-12-10,0,2,0.97,Magasin,Mobile Money,Non,Julien Marie,63,M,Douala
149,C16262,Smartphone,Électronique,3,376852,1130556,1,Perdus,2019-11-24,0,2,0.81,Magasin,Espèces,Non,Astrid Guilbert,41,F,Garoua
150,C14824,Chaise,Maison,3,91945,275835,1,À risque,2019-12-06,0,5,0.26,Magasin,Espèces,Oui,Margaud Camus,45,M,Douala
151,C42456,Riz 5kg,Alimentaire,1,1595,1595,1,Perdus,2020-12-27,0,4,0.2,Mobile,Mobile Money,Non,Marthe Raymond,39,M,Douala
152,C02665,Huile 1L,Alimentaire,1,2996,2996,1,Fidèles,2022-09-23,0,2,0.95,Magasin,Espèces,Non,Antoinette Boulay-Langlois,55,F,Douala
153,C17615,Lait en poudre,Alimentaire,1,2677,2677,1,Fidèles,2023-03-14,0,2,0.96,Mobile,Mobile Money,Non,Roland Roussel,23,F,Maroua
154,C33845,Casque audio,Électronique,5,451048,2255240,1,À risque,2023-05-06,0,1,0.2,Magasin,Mobile Money,Oui,Roger Bazin,44,F,Yaoundé
155,C35265,Abonnement Canal+,Services,3,25000,75000,1,Perdus,2019-09-01,0,5,0.18,Mobile,Mobile Money,Oui,Élisabeth de Guyon,30,M,Douala
156,C30453,Gel douche,Hygiène,3,619,1857,1,À risque,2021-05-25,0,4,0.72,Magasin,Espèces,Non,Joseph Carpentier,47,F,Douala
157,C17444,Vitamines,Santé,3,21256,63768,1,Perdus,2023-12-11,0,3,0.66,Mobile,Mobile Money,Oui,Maggie de la Moreno,23,F,Douala
158,C13033,Pantalon,Textile,5,36975,184875,1,À risque,2022-10-31,0,4,0.55,En ligne,Mobile Money,Non,Jérôme Berger,36,F,Bafoussam
159,C44973,Matelas,Maison,1,47993,47993,1,Fidèles,2022-10-30,0,2,0.52,En ligne,Espèces,Oui,Françoise-Margaux Leclercq,60,M,Ngaoundéré
